provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,cluster,kategori_kesejahteraan
SUMATERA BARAT,MAKANAN,PERDESAAN,2020,MARET,415694.0,2484041.0,597148.9999999999,17571.0,3,Tinggi
SUMATERA BARAT,MAKANAN,PERDESAAN,2020,SEPTEMBER,416419.0,2484041.0,597148.9999999999,17571.0,3,Tinggi
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021,MARET,424106.0,2484041.0,718095.0,16630.0,1,Tinggi
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021,SEPTEMBER,431008.0,2484041.0,718095.0,16630.0,1,Tinggi
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022,MARET,453325.99999999994,2512539.0,756882.0,15887.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022,SEPTEMBER,490322.0,2512539.0,756882.0,15887.000000000002,1,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2021,MARET,438205.0,2484041.0,619721.0,16630.0,3,Tinggi
SUMATERA BARAT,MAKANAN,PERDESAAN,2021,SEPTEMBER,444693.0,2484041.0,619721.0,16630.0,3,Tinggi
SUMATERA BARAT,MAKANAN,PERDESAAN,2022,MARET,470942.0,2512539.0,677060.0,15887.000000000002,3,Menengah
SUMATERA BARAT,MAKANAN,PERDESAAN,2022,SEPTEMBER,500796.0,2512539.0,677060.0,15887.000000000002,3,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015,MARET,117925.0,1615000.0,578889.9999999999,11241.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,121983.99999999999,1615000.0,578889.9999999999,11241.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016,MARET,129369.00000000001,1800725.0,610624.0,13206.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,132506.00000000003,1800725.0,610624.0,13206.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015,MARET,75985.0,1615000.0,319143.0,11241.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,77884.0,1615000.0,319143.0,11241.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016,MARET,81375.0,1800725.0,334953.0,13206.000000000002,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,83703.00000000001,1800725.0,334953.0,13206.000000000002,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017,MARET,135481.00000000003,1949284.0,625397.0,14378.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,136026.0,1949284.0,625397.0,14378.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018,MARET,139235.0,2119067.0,705784.0,14431.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,140237.0,2119067.0,705784.0,14431.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017,MARET,86342.0,1949284.0,359478.0,14378.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,86644.0,1949284.0,359478.0,14378.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018,MARET,91162.0,2119067.0,416100.0,14431.000000000002,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,95901.0,2119067.0,416100.0,14431.000000000002,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019,MARET,143519.0,2289220.0,709405.0,15210.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,149242.0,2289220.0,709405.0,15210.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020,MARET,151198.0,2484041.0,753188.0,17571.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,152458.0,2484041.0,753188.0,17571.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019,MARET,101722.0,2289220.0,419507.99999999994,15210.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,108553.0,2289220.0,419507.99999999994,15210.0,0,Rendah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020,MARET,112136.0,2484041.0,445718.0,17571.0,0,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,113254.0,2484041.0,445718.0,17571.0,0,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021,MARET,156831.00000000003,2484041.0,764266.0,16630.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,161294.0,2484041.0,764266.0,16630.0,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022,MARET,169253.0,2512539.0,781204.0,15887.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,178321.0,2512539.0,781204.0,15887.000000000002,2,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021,MARET,117975.99999999999,2484041.0,468281.0,16630.0,0,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,121531.0,2484041.0,468281.0,16630.0,0,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022,MARET,127489.0,2512539.0,477638.0,15887.000000000002,0,Menengah
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,138150.0,2512539.0,477638.0,15887.000000000002,0,Menengah
RIAU,MAKANAN,PERKOTAAN,2015,MARET,280361.0,1878000.0,530836.0,13303.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2015,SEPTEMBER,288956.0,1878000.0,530836.0,13303.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2016,MARET,292026.0,2095000.0000000002,599302.9999999999,15506.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2016,SEPTEMBER,301570.0,2095000.0000000002,599302.9999999999,15506.0,1,Menengah
RIAU,MAKANAN,PERDESAAN,2015,MARET,302422.0,1878000.0,472755.99999999994,13303.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2015,SEPTEMBER,318195.0,1878000.0,472755.99999999994,13303.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2016,MARET,326262.0,2095000.0000000002,529182.0,15506.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2016,SEPTEMBER,333174.0,2095000.0000000002,529182.0,15506.0,3,Menengah
RIAU,MAKANAN,PERKOTAAN,2017,MARET,318174.0,2266722.0,643136.0,15182.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2017,SEPTEMBER,327480.0,2266722.0,643136.0,15182.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2018,MARET,342424.99999999994,2464154.0,644937.0,15613.0,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2018,SEPTEMBER,350004.0,2464154.0,644937.0,15613.0,1,Menengah
RIAU,MAKANAN,PERDESAAN,2017,MARET,346207.99999999994,2266722.0,577171.9999999999,15182.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2017,SEPTEMBER,350965.0,2266722.0,577171.9999999999,15182.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2018,MARET,357684.99999999994,2464154.0,569381.9999999999,15613.0,3,Menengah
RIAU,MAKANAN,PERDESAAN,2018,SEPTEMBER,358620.0,2464154.0,569381.9999999999,15613.0,3,Menengah
RIAU,MAKANAN,PERKOTAAN,2019,MARET,361135.00000000006,2662026.0,680685.0,16269.999999999998,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2019,SEPTEMBER,383444.0,2662026.0,680685.0,16269.999999999998,1,Menengah
RIAU,MAKANAN,PERKOTAAN,2020,MARET,400297.0,2888564.0,744846.0000000001,18411.0,1,Tinggi
RIAU,MAKANAN,PERKOTAAN,2020,SEPTEMBER,401965.0,2888564.0,744846.0000000001,18411.0,1,Tinggi
